CustomerID,Recency,Frequency,Monetary,Cluster
1,103,2,6125,1
2,349,3,3450,0
3,271,56,8492,1
4,107,81,5280,2
5,72,59,2868,2
6,189,2,7155,1
7,21,2,8673,1
8,103,92,4995,2
9,122,54,9663,1
10,215,87,6502,2
11,331,96,7114,1
12,88,97,9858,2
13,100,1,6419,1
14,360,19,1353,0
15,152,2,4646,1
16,131,53,4269,2
17,150,44,1074,0
18,309,90,1648,0
19,258,32,6793,1
20,344,70,6957,1
21,294,32,8009,1
22,192,68,5277,2
23,277,55,4354,0
24,161,75,2991,2
25,314,56,3624,0
26,22,17,6191,1
27,253,38,3551,0
28,236,24,504,0
29,345,69,5722,0
30,49,98,5815,2
31,59,70,5369,2
32,170,86,1376,2
33,188,11,9683,1
34,271,16,7527,1
35,190,97,4642,2
36,175,73,7466,1
37,51,59,7579,2
38,364,70,8487,1
39,55,80,7299,2
40,244,93,4965,2
41,320,3,1135,0
42,131,20,2193,0
43,307,59,5252,0
44,135,36,8811,1
45,21,19,1330,2
46,329,90,5677,0
47,167,67,9432,1
48,274,19,8808,1
49,89,20,6449,1
50,316,96,3338,0
51,14,71,1650,2
52,242,52,8060,1
53,265,33,2431,0
54,346,40,9704,1
55,53,39,2164,2
56,340,82,1581,0
57,92,1,1012,0
58,264,11,8305,1
59,35,92,5737,2
60,206,57,1059,0
61,81,89,4172,2
62,50,50,7904,1
63,360,23,3843,0
64,2,31,4570,2
65,54,94,1080,2
66,106,42,7504,1
67,260,99,8630,1
68,310,7,3647,0
69,191,16,4749,1
70,218,90,2179,2
71,44,60,4006,2
72,162,2,7753,1
73,202,1,3244,0
74,270,48,9935,1
75,351,12,5688,0
76,304,69,2641,0
77,271,37,7117,1
78,215,32,2979,0
79,252,9,6984,1
80,190,99,7921,2
81,296,19,4952,0
82,213,48,6381,1
83,208,80,7165,1
84,237,3,3349,0
85,338,20,7890,1
86,53,24,7405,1
87,280,54,2989,0
88,217,33,9707,1
89,252,24,5111,0
90,188,75,3339,2
91,41,72,9027,2
92,157,36,6378,1
93,15,38,9587,1
94,301,84,6803,1
95,65,99,1351,2
96,345,89,2187,0
97,327,99,7333,1
98,9,25,2927,2
99,344,93,4500,0
100,129,18,5552,1
101,136,82,3238,2
102,63,66,6232,2
103,139,54,5887,2
104,81,35,8502,1
105,163,80,6036,2
106,289,61,4413,0
107,261,41,1566,0
108,231,33,8223,1
109,41,68,4880,2
110,28,33,4607,2
111,135,14,6226,1
112,201,21,3873,0
113,328,48,9445,1
114,268,20,2582,0
115,33,8,9467,1
116,48,7,7248,1
117,62,67,917,2
118,216,17,8806,1
119,293,33,9308,1
120,99,48,4474,2
121,172,76,3767,2
122,360,59,1325,0
123,214,86,8168,1
124,35,22,6245,1
125,227,30,912,0
126,101,38,8043,1
127,131,51,8087,1
128,257,54,1228,0
129,5,8,7664,1
130,218,27,9367,1
131,255,27,6488,1
132,359,98,3004,0
133,283,21,3467,0
134,207,30,3286,0
135,15,97,1622,2
136,346,28,4579,0
137,42,64,2071,2
138,179,97,5573,2
139,63,69,5604,2
140,352,61,2643,0
141,231,48,7306,1
142,241,19,7857,1
143,52,4,3940,1
144,96,35,4266,2
145,222,64,6144,1
146,231,49,3414,0
147,237,17,5468,1
148,143,44,6417,1
149,171,92,9287,1
150,29,30,1228,2
151,36,93,1865,2
152,13,46,4992,2
153,160,6,1198,0
154,327,99,7686,1
155,187,37,895,0
156,243,24,7900,1
157,86,93,8582,2
158,284,46,4671,0
159,66,53,4860,2
160,170,95,3002,2
161,45,99,1217,2
162,62,60,3282,2
163,134,97,5446,2
164,284,63,5986,0
165,28,85,8835,2
166,108,32,5480,1
167,44,87,7766,2
168,340,33,4991,0
169,286,67,7692,1
170,331,18,6088,0
171,128,25,8151,1
172,348,95,4136,0
173,231,54,1667,0
174,190,58,1562,0
175,225,67,2656,0
176,283,46,8360,1
177,121,24,5661,1
178,116,32,5805,1
179,233,47,7041,1
180,259,86,5229,2
181,359,23,9848,1
182,198,66,7830,1
183,137,27,5834,1
184,318,2,9424,1
185,165,90,4830,2
186,225,17,8510,1
187,307,33,7301,1
188,234,9,5346,1
189,172,43,7231,1
190,152,48,7741,1
191,315,39,1453,0
192,160,93,3039,2
193,96,42,7556,1
194,233,26,2042,0
195,180,99,5793,2
196,113,50,1691,2
197,318,25,6813,1
198,52,24,7438,1
199,268,13,3181,0
200,295,60,9909,1
